muscle_group,weekly_training_time_min,sessions_per_week,avg_intensity_pct_1rm,training_age_years,muscle_growth_pct_8wk
Biceps,142.9,4,61.0,3.0,6.576
Biceps,60.5,1,62.2,12.9,2.543
Biceps,194.1,1,91.3,13.7,1.778
Biceps,158.0,1,56.8,3.2,3.306
Biceps,146.2,3,64.3,7.0,3.909
Biceps,95.4,1,66.7,11.0,2.96
Biceps,61.7,3,74.6,13.2,2.696
Biceps,28.3,3,78.5,5.7,3.727
Biceps,181.5,3,74.7,7.8,2.808
Biceps,96.6,4,58.4,11.1,3.327
Biceps,48.4,3,64.7,11.0,4.488
Biceps,68.1,4,88.7,11.7,3.56
Biceps,120.1,4,80.5,8.5,3.693
Biceps,43.6,5,81.0,1.6,4.69
Biceps,172.8,4,81.8,13.6,1.862
Biceps,154.1,3,85.5,13.0,2.289
Biceps,146.7,3,57.3,12.0,2.224
Biceps,92.1,2,69.7,1.5,8.619
Biceps,129.2,3,76.6,3.1,5.34
Biceps,121.0,1,68.5,11.2,3.406
Biceps,133.5,5,88.8,0.3,7.813
Biceps,26.0,5,74.3,14.7,2.287
Biceps,89.0,1,85.7,5.7,4.231
Biceps,17.9,4,89.1,10.8,2.221
Biceps,103.9,1,75.2,13.3,3.481
Biceps,72.7,4,91.4,5.9,3.087
Biceps,37.5,1,78.5,4.8,2.599
Biceps,29.6,3,89.0,9.1,2.736
Biceps,121.7,4,68.6,8.7,3.813
Biceps,42.4,4,75.0,6.1,5.336
Biceps,185.8,3,76.3,9.0,2.876
Biceps,120.4,5,59.2,14.0,2.528
Biceps,75.9,4,70.9,7.0,5.835
Biceps,122.3,2,91.7,3.0,6.178
Biceps,14.3,4,80.2,5.7,2.846
Biceps,192.1,4,62.1,5.9,3.931
Biceps,101.6,2,68.6,2.0,6.694
Biceps,158.7,4,62.7,2.4,4.888
Biceps,25.7,5,56.0,10.3,3.142
Biceps,102.5,5,92.1,5.1,5.228
Biceps,103.2,4,72.9,14.3,2.987
Biceps,188.2,4,67.3,3.7,5.302
Biceps,118.6,2,78.9,1.5,3.676
Biceps,100.0,4,55.3,11.3,2.467
Biceps,60.7,2,66.1,13.2,2.226
Biceps,73.0,3,83.1,4.2,5.477
Biceps,108.9,2,80.4,3.0,5.308
Biceps,93.4,2,94.3,2.8,4.27
Biceps,14.1,1,79.8,7.8,1.46
Biceps,167.0,5,74.1,7.0,2.889
Biceps,180.3,1,85.5,3.9,5.1
Biceps,36.6,1,91.1,0.7,8.228
Biceps,115.3,5,83.8,7.2,3.91
Biceps,30.6,3,93.5,14.4,2.125
Biceps,137.7,3,86.3,9.8,2.399
Biceps,63.4,4,89.7,7.4,3.049
Biceps,135.3,2,59.6,1.7,5.624
Biceps,148.1,1,84.3,3.8,3.326
Biceps,156.0,4,72.6,4.4,4.506
Biceps,30.5,1,77.1,11.5,1.583
Biceps,184.0,3,81.2,13.2,1.734
Biceps,53.7,5,93.8,13.5,3.157
Biceps,17.1,5,94.4,14.8,1.847
Biceps,115.4,2,66.5,14.7,2.668
Biceps,80.5,4,84.4,14.3,2.341
Biceps,167.7,4,85.0,1.1,7.064
Biceps,163.6,3,68.9,2.1,4.502
Biceps,70.3,1,60.0,4.6,5.423
Biceps,191.1,2,56.6,8.3,2.416
Biceps,65.3,4,86.1,1.5,6.316
Biceps,107.9,5,74.6,12.7,2.945
Biceps,58.6,1,94.4,9.3,3.521
Biceps,187.8,4,73.6,8.1,3.283
Biceps,41.3,5,94.1,2.5,6.111
Biceps,18.5,5,71.5,3.8,4.891
Biceps,92.7,3,86.7,2.4,7.779
Biceps,198.6,1,58.4,12.8,1.568
Biceps,179.4,2,77.2,8.8,2.979
Biceps,152.2,5,87.1,11.0,3.951
Biceps,179.3,5,92.0,4.4,5.357
Biceps,179.8,4,87.9,5.6,2.783
Biceps,108.6,1,56.5,6.1,3.161
Biceps,70.0,1,69.9,11.4,3.992
Biceps,156.7,3,56.9,11.6,1.969
Biceps,135.7,3,59.4,3.1,3.986
Biceps,81.0,1,82.0,14.1,2.354
Biceps,27.9,4,83.5,1.8,6.419
Biceps,151.9,3,85.9,13.4,2.339
Biceps,59.9,1,89.6,1.5,5.791
Biceps,188.0,1,84.6,4.0,2.864
Biceps,55.8,3,87.0,12.7,2.694
Biceps,33.3,4,57.0,2.7,4.853
Biceps,167.9,5,64.4,6.2,5.22
Biceps,39.1,3,79.9,6.7,4.353
Biceps,44.1,2,89.3,3.7,5.939
Biceps,123.9,5,55.2,10.7,2.885
Biceps,176.2,3,75.6,12.8,2.135
Biceps,47.3,2,82.1,13.1,2.373
Biceps,69.0,3,56.2,5.1,2.774
Biceps,157.7,1,71.1,8.0,2.025
Biceps,194.6,2,90.8,3.7,2.236
Biceps,105.1,3,81.9,3.7,3.397
Biceps,37.3,5,64.5,2.4,4.929
Biceps,12.6,4,89.1,14.1,1.952
Biceps,53.6,4,68.9,13.3,3.208
Biceps,35.0,3,89.1,11.7,3.591
Biceps,138.8,1,67.0,7.8,3.341
Biceps,33.1,2,78.6,7.4,3.98
Biceps,106.2,5,70.9,7.9,3.478
Biceps,141.9,1,66.0,8.0,3.298
Biceps,120.4,5,90.5,6.5,4.892
Biceps,48.0,4,62.5,2.0,6.483
Biceps,162.8,2,58.4,1.9,5.427
Biceps,145.9,4,68.7,14.3,2.827
Biceps,150.4,5,83.7,7.2,3.282
Biceps,34.9,1,87.3,14.3,1.639
Biceps,33.5,1,94.9,2.5,3.771
Biceps,186.2,4,66.9,8.3,2.946
Biceps,85.5,5,71.3,3.1,7.018
Biceps,67.2,1,60.5,3.8,4.464
Biceps,102.8,4,78.0,0.5,8.853
Biceps,135.9,1,94.9,1.8,5.706
Biceps,191.6,4,83.0,13.8,2.348
Biceps,64.4,4,78.8,4.8,7.45
Biceps,185.7,1,70.7,9.1,2.89
Biceps,14.7,4,91.6,7.0,1.948
Biceps,115.5,5,74.9,6.0,6.1
Biceps,130.5,5,60.4,8.0,3.363
Biceps,30.1,1,69.6,2.8,5.427
Biceps,36.7,2,57.7,14.8,2.324
Biceps,89.6,2,63.1,12.3,2.746
Biceps,193.6,3,55.7,11.1,1.287
Biceps,123.2,1,73.1,7.0,3.369
Biceps,187.3,5,80.4,2.3,3.411
Biceps,162.8,4,68.7,13.8,2.885
Biceps,98.8,5,71.8,5.1,6.744
Biceps,159.1,1,93.4,0.8,4.593
Biceps,13.4,1,85.1,5.1,2.361
Biceps,30.7,5,76.6,11.9,2.413
Biceps,167.6,2,66.4,9.3,2.279
Biceps,161.4,4,90.9,11.3,3.129
Biceps,54.2,5,64.4,11.9,3.39
Biceps,110.8,1,68.0,3.2,6.634
Biceps,125.1,1,91.4,13.9,2.018
Biceps,174.9,1,76.2,6.6,3.443
Biceps,124.6,1,84.7,9.6,2.955
Biceps,88.4,1,78.6,0.0,9.071
Biceps,81.1,5,81.1,14.9,2.769
Biceps,90.9,4,67.0,4.2,5.899
Biceps,133.9,5,64.7,0.9,7.039
Biceps,174.8,5,67.9,6.9,2.809
Biceps,96.2,5,61.2,1.9,8.03
Biceps,57.1,2,90.0,2.3,7.046
Biceps,55.0,2,66.3,9.5,3.931
Biceps,151.7,5,77.5,5.9,5.224
Biceps,165.1,2,86.7,13.8,2.725
Biceps,30.0,1,86.4,4.8,3.462
Biceps,22.6,4,72.5,10.9,2.794
Biceps,122.9,5,74.1,6.9,3.746
Biceps,37.8,5,94.8,9.9,3.356
Biceps,166.7,5,82.0,9.0,2.66
Biceps,69.0,1,87.6,7.1,5.204
Biceps,37.3,4,91.1,14.3,2.91
Biceps,185.0,5,86.5,5.1,3.47
Biceps,41.5,4,62.4,2.7,7.687
Biceps,64.1,5,77.5,10.2,2.327
Biceps,39.2,5,59.1,12.7,1.747
Biceps,31.9,3,81.1,0.6,7.953
Biceps,14.0,1,93.2,6.7,2.001
Biceps,20.5,3,75.5,13.4,2.126
Biceps,43.2,2,72.3,11.2,2.2
Biceps,20.1,1,56.4,14.9,1.554
Biceps,122.3,1,93.4,8.0,4.428
Biceps,139.3,4,59.1,9.9,3.748
Biceps,84.8,3,56.6,4.5,5.544
Biceps,70.4,3,64.8,14.2,2.773
Biceps,105.9,4,57.6,5.5,4.618
Biceps,176.3,3,73.2,11.1,1.338
Biceps,171.7,4,75.6,6.0,3.885
Biceps,18.3,1,67.5,8.4,2.554
Biceps,44.5,5,57.0,10.8,2.342
Biceps,55.0,3,59.5,7.6,3.679
Biceps,57.4,1,70.4,13.6,2.02
Biceps,118.5,5,57.4,6.3,3.609
Biceps,89.1,4,82.9,9.7,4.015
Biceps,19.4,1,63.3,5.1,1.638
Biceps,81.0,1,67.1,6.1,4.734
Biceps,109.5,1,70.8,6.6,4.319
Biceps,29.3,2,71.7,1.9,5.121
Biceps,168.4,1,55.1,1.4,2.577
Biceps,19.9,4,59.5,10.0,1.953
Biceps,185.7,3,89.5,9.8,3.082
Biceps,28.8,5,55.0,9.9,1.311
Biceps,170.3,4,75.3,0.3,6.403
Biceps,181.5,4,74.6,4.9,3.009
Biceps,196.1,3,68.3,3.0,4.616
Biceps,162.4,1,72.3,11.7,1.873
Biceps,158.1,1,86.2,12.9,2.265
Biceps,132.1,4,88.6,3.7,5.882
Triceps,176.1,1,82.0,9.1,2.181
Triceps,14.6,5,82.3,10.7,0.968
Triceps,108.9,3,58.0,10.7,3.737
Triceps,98.1,3,72.9,14.9,3.28
Triceps,141.1,5,71.4,5.1,6.372
Triceps,41.0,2,58.5,2.4,7.476
Triceps,137.0,3,63.9,7.8,5.289
Triceps,81.6,5,72.6,8.0,4.008
Triceps,127.6,4,84.7,2.7,6.537
Triceps,17.6,2,64.5,9.2,2.368
Triceps,97.7,2,88.2,0.2,12.667
Triceps,109.2,1,76.8,13.9,3.569
Triceps,50.7,1,85.4,4.0,6.135
Triceps,36.5,1,73.9,0.6,6.236
Triceps,45.8,4,75.0,1.6,6.655
Triceps,75.4,4,79.8,3.6,8.089
Triceps,28.4,3,92.1,4.1,3.55
Triceps,190.0,4,74.7,0.5,7.048
Triceps,86.9,1,76.1,4.2,5.335
Triceps,163.7,2,79.1,2.9,6.85
Triceps,195.1,2,84.5,5.7,3.389
Triceps,25.3,5,57.9,5.8,2.038
Triceps,133.8,4,75.6,5.1,5.959
Triceps,175.6,5,74.3,4.9,4.129
Triceps,130.5,2,91.9,1.3,6.99
Triceps,91.5,5,74.7,0.4,9.881
Triceps,91.9,1,73.7,3.0,5.755
Triceps,16.8,2,93.5,11.3,2.118
Triceps,111.6,3,73.0,14.9,2.071
Triceps,198.8,1,62.2,13.9,1.754
Triceps,192.2,5,63.7,7.6,4.035
Triceps,17.7,5,58.8,8.0,2.241
Triceps,144.1,3,55.0,4.7,3.512
Triceps,67.3,2,72.3,11.6,3.907
Triceps,181.6,1,85.8,11.5,3.005
Triceps,18.6,4,84.3,12.7,2.057
Triceps,187.8,3,56.3,13.4,1.401
Triceps,169.1,4,77.8,6.5,4.885
Triceps,32.3,4,61.2,11.5,2.027
Triceps,21.4,1,92.6,12.1,2.014
Triceps,168.6,1,61.7,4.6,3.397
Triceps,39.6,4,80.1,13.9,2.281
Triceps,111.6,1,68.0,1.4,6.381
Triceps,184.0,5,80.7,14.9,2.356
Triceps,117.8,1,71.5,11.6,2.634
Triceps,85.5,4,85.4,1.4,9.769
Triceps,94.6,5,64.2,9.8,3.859
Triceps,22.0,3,91.2,0.5,6.767
Triceps,194.1,1,75.0,11.6,2.463
Triceps,69.0,5,85.2,12.0,3.282
Triceps,46.0,1,89.0,9.0,2.763
Triceps,64.3,3,95.0,12.9,2.245
Triceps,193.2,5,64.0,1.5,6.529
Triceps,27.9,4,66.5,4.1,4.468
Triceps,174.8,1,65.0,6.2,1.908
Triceps,144.5,5,65.5,0.6,7.561
Triceps,167.7,1,78.3,6.7,2.89
Triceps,195.4,4,94.7,4.0,6.001
Triceps,170.0,4,94.6,5.9,2.997
Triceps,189.2,2,76.1,6.4,2.569
Triceps,34.1,3,80.6,13.2,3.33
Triceps,161.2,1,89.4,4.1,5.491
Triceps,113.7,5,92.3,13.4,2.777
Triceps,113.3,2,63.2,6.4,4.008
Triceps,180.8,2,76.1,4.9,4.612
Triceps,194.6,3,88.3,7.5,1.837
Triceps,143.9,4,67.1,6.3,3.17
Triceps,101.8,3,72.6,3.9,5.954
Triceps,96.7,3,94.4,7.5,5.819
Triceps,83.4,3,94.4,2.3,6.827
Triceps,78.7,5,91.2,5.3,5.989
Triceps,84.4,2,86.9,8.5,5.031
Triceps,27.1,5,65.8,6.2,5.419
Triceps,24.7,4,67.8,12.4,2.231
Triceps,158.2,5,76.9,3.9,5.534
Triceps,94.8,5,77.4,14.5,4.483
Triceps,186.8,4,75.2,11.8,2.001
Triceps,126.3,2,80.5,14.5,3.294
Triceps,16.7,4,71.3,12.6,1.501
Triceps,39.9,4,85.0,2.1,7.059
Triceps,49.1,2,68.3,7.9,3.808
Triceps,195.4,4,68.2,2.5,4.616
Triceps,51.6,2,60.1,12.3,2.465
Triceps,108.0,3,62.5,8.8,4.364
Triceps,187.9,4,89.0,4.0,5.789
Triceps,195.7,1,72.9,13.9,1.98
Triceps,54.9,2,64.1,1.7,7.194
Triceps,19.3,4,85.4,8.5,3.042
Triceps,39.2,3,77.2,10.8,2.658
Triceps,22.0,5,55.8,0.9,6.45
Triceps,47.1,1,67.7,9.0,3.952
Triceps,118.0,4,62.1,12.2,5.269
Triceps,183.4,5,81.2,1.0,6.455
Triceps,112.1,5,66.0,7.7,4.272
Triceps,128.9,1,57.6,3.9,5.607
Triceps,48.4,5,57.2,9.9,4.395
Triceps,162.1,2,78.3,1.8,5.51
Triceps,127.4,2,55.9,14.1,2.465
Triceps,174.2,2,89.0,13.4,2.681
Triceps,190.3,4,61.2,2.8,4.658
Triceps,76.1,4,79.3,4.8,5.902
Triceps,27.2,3,72.8,8.8,3.162
Triceps,52.9,1,72.7,10.8,3.811
Triceps,93.2,5,57.9,6.6,4.592
Triceps,189.7,2,87.1,2.3,3.391
Triceps,81.9,1,90.7,1.6,4.757
Triceps,156.4,3,55.4,15.0,1.837
Triceps,112.7,3,62.1,6.8,3.564
Triceps,44.7,4,91.2,13.1,3.082
Triceps,70.9,5,77.0,7.2,4.052
Triceps,134.1,1,61.0,13.8,2.147
Triceps,137.8,2,63.1,1.3,5.981
Triceps,92.6,3,81.4,1.7,7.4
Triceps,53.4,4,84.0,13.9,4.13
Triceps,147.2,4,79.0,14.2,3.337
Triceps,42.1,2,93.1,4.7,4.723
Triceps,188.0,4,74.8,5.3,4.046
Triceps,45.7,5,67.0,6.8,4.346
Triceps,30.4,3,74.1,6.2,4.196
Triceps,104.6,5,69.4,2.9,7.912
Triceps,108.7,4,64.0,13.5,2.791
Triceps,106.6,2,56.8,3.8,5.689
Triceps,93.0,2,69.1,10.6,2.221
Triceps,199.0,4,83.5,1.0,6.801
Triceps,102.4,2,55.7,0.6,9.266
Triceps,100.8,2,72.6,9.8,3.551
Triceps,90.1,2,80.8,5.1,7.092
Triceps,22.7,4,79.4,9.8,2.287
Triceps,122.7,2,86.1,1.4,7.417
Triceps,53.3,4,87.4,14.2,3.187
Triceps,131.1,5,83.5,11.2,3.475
Triceps,19.7,5,59.1,13.1,1.991
Triceps,196.5,5,74.0,2.0,5.897
Triceps,99.1,1,79.1,4.8,5.795
Triceps,180.4,3,64.8,5.5,5.238
Triceps,100.4,2,56.7,8.1,4.074
Triceps,21.5,5,63.9,4.5,4.496
Triceps,166.2,4,73.2,0.9,6.697
Triceps,133.2,2,71.6,5.5,5.282
Triceps,158.5,3,62.1,3.8,4.514
Triceps,91.4,4,88.0,5.8,6.763
Triceps,131.2,3,92.0,3.0,8.536
Triceps,172.7,3,63.1,3.9,4.815
Triceps,129.9,1,92.2,9.4,1.835
Triceps,76.1,3,55.7,5.8,4.809
Triceps,135.9,2,92.0,5.2,5.651
Triceps,137.7,5,93.1,8.0,4.563
Triceps,192.5,5,55.5,11.6,2.852
Triceps,80.5,4,85.5,5.7,6.885
Triceps,90.8,1,93.8,8.8,4.014
Triceps,164.3,5,91.2,14.5,3.3
Triceps,106.1,2,93.8,7.8,4.777
Triceps,149.9,3,77.0,13.6,3.692
Triceps,97.3,5,58.1,11.9,3.913
Triceps,50.9,5,89.0,0.9,9.913
Triceps,151.6,1,79.6,6.4,3.561
Triceps,34.9,2,79.6,10.5,2.615
Triceps,47.7,4,71.7,14.8,4.101
Triceps,129.1,3,77.9,6.9,4.699
Triceps,152.0,2,61.1,1.4,7.397
Triceps,180.0,3,84.6,8.4,3.457
Triceps,61.8,5,58.0,1.9,7.133
Triceps,31.0,2,84.2,11.3,2.675
Triceps,191.6,4,89.0,7.6,4.583
Triceps,39.3,4,73.9,10.9,3.868
Triceps,47.6,5,75.4,13.0,2.184
Triceps,65.4,2,67.5,9.4,3.728
Triceps,110.6,2,93.8,9.2,4.939
Triceps,177.7,3,84.3,11.3,2.736
Triceps,154.5,3,69.8,12.6,1.858
Triceps,144.5,3,62.0,13.0,4.028
Triceps,43.3,4,63.8,0.5,9.704
Triceps,78.0,4,73.6,8.3,4.812
Triceps,100.9,2,92.7,3.2,5.666
Triceps,38.0,4,84.4,12.9,3.718
Triceps,62.0,2,63.6,9.7,3.362
Triceps,68.6,3,89.4,6.3,6.192
Triceps,34.2,1,70.1,2.8,5.436
Triceps,114.5,2,89.1,5.1,5.212
Triceps,144.0,5,64.7,10.6,3.623
Triceps,23.3,3,79.7,3.1,4.363
Triceps,101.4,4,92.1,1.4,9.961
Triceps,158.6,1,65.3,13.3,1.961
Triceps,152.1,4,82.7,11.5,2.271
Triceps,164.9,2,94.5,3.0,5.646
Triceps,95.2,4,61.0,4.4,7.023
Triceps,165.9,5,58.5,14.6,2.868
Triceps,55.7,3,82.0,10.6,4.017
Triceps,78.6,1,68.6,9.2,3.538
Triceps,43.5,3,57.8,4.6,5.889
Triceps,98.8,1,74.0,4.5,5.139
Triceps,84.5,3,85.2,0.6,8.55
Triceps,55.8,1,66.4,10.9,2.988
Triceps,152.8,4,68.4,0.6,11.022
Triceps,69.6,2,88.8,0.1,6.608
Triceps,61.8,2,75.8,10.9,3.868
Triceps,34.9,1,88.7,14.2,1.42
Triceps,93.4,5,72.9,11.3,3.825
Triceps,67.6,5,93.1,7.1,4.62
Triceps,80.2,5,81.0,7.3,3.215
Triceps,54.8,1,59.6,6.5,4.461
Triceps,155.0,2,90.4,4.9,4.158
Triceps,186.7,5,74.6,7.8,2.166
Triceps,104.6,3,60.7,6.5,5.636
Triceps,132.2,1,61.1,9.0,4.251
Triceps,174.8,1,82.5,13.5,2.984
Triceps,199.8,2,56.9,14.9,2.156
Triceps,126.6,5,66.5,1.2,8.255
Triceps,179.1,1,60.6,5.8,4.45
Triceps,182.6,5,72.6,2.7,7.371
Triceps,160.4,4,71.6,5.3,5.925
Triceps,97.6,5,75.9,4.3,5.315
Triceps,25.4,5,66.2,2.6,5.378
Triceps,13.0,2,56.3,11.5,1.633
Triceps,100.7,5,79.6,7.4,3.299
Triceps,103.9,1,69.9,13.8,3.053
Triceps,87.4,2,81.1,0.5,12.196
Triceps,118.0,2,59.3,1.0,8.365
Triceps,114.9,1,55.6,6.0,5.374
Triceps,169.0,1,64.9,1.2,6.064
Triceps,30.6,1,73.3,3.9,4.15
Triceps,52.8,1,70.8,14.8,2.789
Triceps,160.7,2,87.4,3.1,4.439
Triceps,171.1,1,70.1,3.0,3.956
Triceps,199.0,1,76.2,8.6,3.42
Triceps,175.9,5,78.7,7.5,4.87
Triceps,179.1,1,55.9,8.7,2.257
Triceps,69.7,1,75.6,5.7,5.658
Triceps,86.3,1,68.8,12.4,3.04
Triceps,60.9,1,71.9,2.1,6.974
Triceps,125.2,3,59.0,6.4,5.013
Triceps,188.4,5,86.3,10.3,3.63
Triceps,75.5,4,92.7,13.0,3.677
Triceps,115.8,3,55.9,5.5,6.318
Triceps,66.3,1,79.1,8.5,4.088
Triceps,42.3,4,85.6,1.0,8.944
Triceps,47.1,1,66.4,2.6,4.925
Triceps,21.0,4,86.5,1.0,7.777
Triceps,190.4,3,80.3,10.9,3.066
Triceps,86.5,5,92.2,4.3,7.093
Triceps,168.5,2,94.2,10.9,1.861
Triceps,139.5,4,56.7,1.0,6.882
Triceps,46.5,3,72.8,12.9,3.887
Triceps,43.3,3,76.9,12.5,3.287
Triceps,164.3,5,60.9,1.3,4.713
Triceps,60.3,4,68.5,0.4,11.68
Triceps,183.5,3,94.5,0.8,5.905
Triceps,36.6,3,55.6,12.8,3.565
Triceps,138.8,4,73.1,3.5,6.115
Triceps,164.8,2,88.7,8.2,3.494
Triceps,54.7,1,68.0,6.4,5.209
Triceps,62.5,3,74.2,11.9,2.963
Triceps,193.3,1,94.1,7.3,2.347
Triceps,60.3,1,74.0,7.5,3.907
Triceps,91.7,3,60.2,14.8,3.575
Triceps,92.2,4,57.1,2.3,6.041
Triceps,58.1,4,92.8,12.5,2.402
Triceps,157.4,2,65.6,0.8,7.949
Triceps,156.7,3,75.2,7.2,3.592
Triceps,81.9,1,58.6,13.3,2.683
Triceps,168.7,4,71.9,10.0,2.194
Triceps,50.5,2,92.2,10.3,2.934
Triceps,10.8,4,75.1,3.9,2.551
Triceps,118.5,5,93.8,6.3,5.783
Triceps,198.9,4,65.4,5.5,3.539
Triceps,17.3,2,75.2,7.8,3.174
Triceps,49.5,5,89.4,6.9,4.142
Triceps,108.6,4,72.9,4.9,5.251
Triceps,163.9,4,66.2,4.6,6.542
Triceps,26.9,5,89.2,3.8,4.901
Triceps,85.1,5,70.6,5.5,5.301
Triceps,151.9,1,76.2,2.2,5.407
Triceps,80.6,5,94.1,13.1,4.436
Triceps,45.9,4,62.5,9.0,5.192
Triceps,47.1,2,67.1,2.0,5.668
Triceps,87.9,2,56.2,10.4,3.567
Triceps,101.1,4,70.7,12.7,3.683
Triceps,173.7,2,63.0,3.6,3.9
Triceps,132.0,3,82.2,2.3,6.706
Triceps,141.2,4,62.3,0.1,9.113
Triceps,196.8,4,82.0,0.7,8.257
Triceps,88.3,5,65.5,11.4,4.779
Triceps,86.6,1,69.2,14.8,2.562
Triceps,185.4,2,69.0,0.7,6.154
Triceps,56.7,5,83.7,11.2,4.263
Triceps,148.7,3,73.7,1.1,6.69
Triceps,153.4,2,69.5,8.9,3.787
Triceps,28.6,2,89.1,11.3,2.475
Triceps,99.0,2,77.9,5.4,4.251
Triceps,48.1,3,63.6,0.2,7.533
Triceps,45.2,2,91.0,8.9,4.543
Triceps,98.1,4,68.7,14.9,3.173
Triceps,65.0,3,56.6,3.9,7.948
Triceps,161.3,4,74.8,2.8,5.616
Triceps,182.4,1,60.0,1.9,5.361
Triceps,162.5,4,64.5,8.3,5.598
Triceps,60.5,5,84.9,8.9,3.543
Triceps,62.1,1,60.2,11.9,1.904
Triceps,58.4,2,87.3,11.3,4.209
Triceps,35.7,4,92.5,13.4,2.368
Shoulders,105.6,4,58.8,9.3,4.771
Shoulders,198.3,5,62.5,4.5,4.906
Shoulders,12.3,2,58.1,4.7,2.189
